,Address,MLS No,Penthouse,Renovation,Cats,Dogs,Ocean View,City View,Mountain View,Park View,Balcony,Storage,Pool,Laundry,Gym,Finished Floor,Lot Size,Year Built,Parking Space,Fireplace,Bedrooms,Total Bathrooms,Half Baths,Full Baths,Waiting Period,Floor,Latitude,Longitude,Land Only,Multifamily,Residential Attached,Residential Detached,Residential Detached,1/2 Duplex,Apartment/Condo,Duplex,Other,Other,Recreational,Residential Detached,Residential Detached,Row House (Non-Strata),Townhouse,Triplex,First Nations Lease,Freehold NonStrata,Freehold Strata,Leasehold not prepaid-NonStrata,Leasehold not prepaid-Strata,Leasehold prepaid-NonStrata,Leasehold prepaid-Strata,Other,Other,Shares in Co-operative,Undivided Interest,List Price,Sold Price,Sold Price per SqFt,List Date,Sold Date,Days on Market
0,409 GAVIN ROAD,2242556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,110000,103000,11.57,2/23/2018,1/28/2019,339
1,Lot 6 GAVIN ROAD,2347043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10454,0,0,0,0,0,0,0,0,0,49.3987106,-123.4345702,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,128900,123800,11.84,3/8/2019,5/20/2019,73
2,8 11900 228 STREET,2338780,0,0,0,0,0,0,0,0,1,1,0,1,0,881,0,1981,1,1,2,2,0,2,0,0,49.2357025,-122.5903199,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,249000,245000,278.09,2/5/2019,02/09/2019,4
3,205 211 W 3RD STREET,2358205,0,0,0,0,0,0,0,0,1,1,0,1,0,829,0,1973,0,0,2,1,0,1,0,2,49.3147421,-123.080775,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,430000,420000,506.63,4/9/2019,04/11/2019,2
4,3273 MATHERS AVENUE,2324063,0,0,0,0,1,1,0,1,0,0,0,0,0,7074,15543,2006,8,4,5,7,1,6,0,0,49.3425367,-123.2040622,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6998800,5180000,732.26,11/19/2018,1/22/2019,64
5,642 SOUTHBOROUGH DRIVE,2360583,0,1,0,0,1,1,0,1,0,0,0,0,0,10037,25700,1993,12,4,8,8,1,7,0,0,49.3448094,-123.1335212,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5788000,5200000,518.08,4/18/2019,4/23/2019,5
6,6610 CHURCHILL STREET,2307898,0,0,0,0,0,0,0,0,0,0,0,0,0,4930,11769,1974,8,3,6,4,0,4,0,0,49.2287888,-123.1415727,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6490000,5300000,1075,9/18/2018,02/11/2019,146
7,4796 W 7TH AVENUE,2341313,0,0,0,0,0,0,0,0,0,0,0,0,0,4066,10579,2008,2,2,5,5,1,4,0,0,49.264854,-123.1140881,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5500000,5300000,1303,2/15/2019,2/28/2019,13
8,4411 W 4TH AVENUE,2334321,0,0,0,0,1,1,1,0,0,0,0,0,0,1580,11140,1926,1,1,3,1,0,1,0,0,49.2679456,-123.1404056,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6198000,5300000,2123,1/18/2019,3/28/2019,69
9,5037 MAPLE STREET,2342255,0,1,0,0,1,1,1,0,0,0,0,0,0,3309,5979,1988,4,4,4,4,1,3,0,0,49.2659617,-123.1503978,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5499000,5350000,1468,2/20/2019,03/03/2019,11
10,6907 MARGUERITE STREET,2359688,0,0,0,0,0,0,0,0,0,0,0,0,0,5520,9497,2009,4,3,4,6,1,5,0,0,49.2357095,-123.1446809,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5888000,5398000,977.9,4/15/2019,05/06/2019,21
11,2588 GARDEN COURT,2323240,0,0,0,0,1,1,0,0,0,0,0,0,0,7012,12006,2010,0,4,5,8,2,6,0,0,49.3494465,-123.1844815,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6880000,5400000,770.11,11/15/2018,03/03/2019,108
12,4085 W 31ST AVENUE,2336771,0,0,0,0,0,0,1,1,0,0,0,0,0,4828,6890,2016,0,2,6,7,1,6,0,0,49.2442894,-123.1845761,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6680000,5408000,1120,1/28/2019,2/28/2019,31
